City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
161,plettenberg bay,-34.0527,23.3716,12.31,75,4,1.84,ZA,1694970008
162,papatowai,-46.5619,169.4708,7.21,87,98,12.18,NZ,1694970112
163,labrador city,52.9463,-66.9114,14.33,68,100,4.0,CA,1694970112
164,hasaki,35.7333,140.8333,26.27,88,14,7.07,JP,1694970112
165,champerico,14.3,-91.9167,30.19,67,35,3.16,GT,1694970112
166,jumla,29.2747,82.1838,15.65,93,100,0.93,NP,1694970113
167,mount gambier,-37.8333,140.7667,10.45,94,99,0.52,AU,1694969941
168,polyarnyy,69.1989,33.4478,7.99,79,100,2.09,RU,1694970113
169,barclayville,4.6797,-8.2339,27.09,78,88,3.68,LR,1694970113
170,usogorsk,63.4106,48.6872,9.43,95,100,2.34,RU,1694970114
171,watsa,3.0372,29.5355,19.79,96,77,1.16,CD,1694970048
172,chonchi,-42.6128,-73.8092,9.51,67,33,2.59,CL,1694970063
173,el dorado,38.7666,-120.5177,26.88,59,4,2.39,US,1694970114
174,san antonio de pale,-1.4014,5.6325,24.47,79,83,4.08,GQ,1694970114
175,masterton,-40.9597,175.6575,12.71,68,34,6.0,NZ,1694970115
176,constantia,44.1833,28.65,20.39,60,99,4.81,RO,1694969843
177,santana,-0.0583,-51.1817,36.27,35,33,4.35,BR,1694970115
178,mejit,10.2753,170.8646,28.41,81,100,9.15,MH,1694970115
179,dellys,36.9172,3.9131,25.62,78,16,7.92,DZ,1694970115
180,celestun,20.8667,-90.4,28.08,75,0,2.19,MX,1694970115
181,boysun,38.2061,67.1986,18.9,32,2,1.5,UZ,1694970115
182,paris,48.8534,2.3488,27.28,65,0,4.12,FR,1694969793
183,adrar,20.5022,-10.0711,37.69,23,48,0.9,MR,1694970116
184,saipan,15.1355,145.701,28.9,79,88,5.07,MP,1694970116
185,maxixe,-23.8597,35.3472,20.09,82,100,7.7,MZ,1694970116
